time,1_x,1_y,1_z,control_pressure_0,control_pressure_1,control_pressure_2
1697541939.844028,0.030046,0.35306,0.200153,2.0,2.0,2.0
1697541939.853424,0.02996,0.353073,0.200131,2.0,2.0,2.0
1697541939.863094,0.029875,0.353086,0.200112,2.0,2.0,2.0
1697541939.875459,0.029791,0.353099,0.200097,2.0,2.0,2.0
1697541939.883412,0.029708,0.353112,0.200084,2.0,2.0,2.0
1697541939.893154,0.029626,0.353126,0.200074,2.0,2.0,2.0
1697541939.903808,0.029546,0.35314,0.200066,2.0,2.0,2.0
1697541939.913045,0.029467,0.353154,0.200061,2.0,2.0,2.0
1697541939.923133,0.029389,0.353167,0.200059,2.0,2.0,2.0
1697541939.933629,0.029314,0.353181,0.20006,2.0,2.0,2.0
1697541939.943086,0.02924,0.353195,0.200062,2.0,2.0,2.0
1697541939.953415,0.029168,0.353208,0.200067,2.0,2.0,2.0
1697541939.963676,0.029098,0.353221,0.200075,2.0,2.0,2.0
1697541939.973066,0.02903,0.353234,0.200083,2.0,2.0,2.0
1697541939.983864,0.028965,0.353247,0.200094,2.0,2.0,2.0
1697541939.994029,0.0289,0.35326,0.200106,2.0,2.0,2.0
1697541940.003255,0.028838,0.353273,0.20012,2.0,2.0,2.0
1697541940.013593,0.028777,0.353286,0.200135,2.0,2.0,2.0
1697541940.023312,0.02872,0.3533,0.200152,2.0,2.0,2.0
1697541940.033127,0.028665,0.353313,0.200169,2.0,2.0,2.0
1697541940.043809,0.028613,0.353326,0.200188,2.0,2.0,2.0
1697541940.053618,0.028563,0.353339,0.200207,2.0,2.0,2.0
1697541940.064008,0.028517,0.353352,0.200226,2.0,2.0,2.0
1697541940.073425,0.028473,0.353365,0.200247,2.0,2.0,2.0
1697541940.083947,0.028432,0.353378,0.200268,2.0,2.0,2.0
1697541940.09471,0.028395,0.353392,0.200289,2.0,2.0,2.0
1697541940.103884,0.02836,0.353404,0.200311,2.0,2.0,2.0
1697541940.113759,0.028328,0.353417,0.200333,2.0,2.0,2.0
1697541940.124174,0.0283,0.35343,0.200356,2.0,2.0,2.0
1697541940.133286,0.028274,0.353442,0.200378,2.0,2.0,2.0
1697541940.143838,0.028251,0.353455,0.200401,2.0,2.0,2.0
1697541940.154262,0.028231,0.353467,0.200424,2.0,2.0,2.0
1697541940.163385,0.028213,0.353479,0.200446,2.0,2.0,2.0
1697541940.173399,0.028199,0.353491,0.200468,2.0,2.0,2.0
1697541940.184931,0.028187,0.353503,0.20049,2.0,2.0,2.0
1697541940.193478,0.028177,0.353515,0.200512,2.0,2.0,2.0
1697541940.203631,0.028169,0.353526,0.200534,2.0,2.0,2.0
1697541940.21493,0.028164,0.353538,0.200556,2.0,2.0,2.0
1697541940.223733,0.028161,0.353549,0.200577,2.0,2.0,2.0
1697541940.234039,0.02816,0.353561,0.200598,2.0,2.0,2.0
1697541940.24333,0.028161,0.353572,0.20062,2.0,2.0,2.0
1697541940.253556,0.028165,0.353583,0.200641,2.0,2.0,2.0
1697541940.264251,0.02817,0.353594,0.200662,2.0,2.0,2.0
1697541940.273283,0.028177,0.353605,0.200683,2.0,2.0,2.0
1697541940.283496,0.028187,0.353615,0.200704,2.0,2.0,2.0
1697541940.29392,0.028198,0.353625,0.200725,2.0,2.0,2.0
1697541940.303736,0.028211,0.353635,0.200745,2.0,2.0,2.0
1697541940.313508,0.028226,0.353645,0.200765,2.0,2.0,2.0
1697541940.323673,0.028242,0.353655,0.200785,2.0,2.0,2.0
1697541940.333621,0.028259,0.353664,0.200804,2.0,2.0,2.0
1697541940.342974,0.028277,0.353674,0.200823,2.0,2.0,2.0
1697541940.353522,0.028297,0.353683,0.200842,2.0,2.0,2.0
1697541940.363663,0.028318,0.353692,0.200861,2.0,2.0,2.0
1697541940.373248,0.02834,0.353701,0.200879,2.0,2.0,2.0
1697541940.382799,0.028363,0.35371,0.200897,2.0,2.0,2.0
1697541940.393368,0.028388,0.353718,0.200915,2.0,2.0,2.0
1697541940.403566,0.028413,0.353726,0.200932,2.0,2.0,2.0
1697541940.413231,0.028439,0.353735,0.200949,2.0,2.0,2.0
1697541940.423665,0.028466,0.353743,0.200967,2.0,2.0,2.0
1697541940.433665,0.028494,0.353751,0.200984,2.0,2.0,2.0
1697541940.443662,0.028522,0.353759,0.201001,2.0,2.0,2.0
1697541940.453511,0.028552,0.353767,0.201018,2.0,2.0,2.0
1697541940.463864,0.028581,0.353774,0.201035,2.0,2.0,2.0
1697541940.47333,0.028611,0.353782,0.201051,2.0,2.0,2.0
1697541940.483541,0.028642,0.353789,0.201067,2.0,2.0,2.0
1697541940.494784,0.028673,0.353797,0.201083,2.0,2.0,2.0
1697541940.503654,0.028705,0.353805,0.201098,2.0,2.0,2.0
1697541940.513649,0.028736,0.353812,0.201113,2.0,2.0,2.0
1697541940.52431,0.028769,0.353819,0.201127,2.0,2.0,2.0
1697541940.532885,0.028802,0.353826,0.201142,2.0,2.0,2.0
1697541940.54298,0.028835,0.353834,0.201157,2.0,2.0,2.0
1697541940.554564,0.028869,0.353841,0.201172,2.0,2.0,2.0
1697541940.563095,0.028903,0.353848,0.201186,2.0,2.0,2.0
1697541940.572843,0.028937,0.353855,0.2012,2.0,2.0,2.0
1697541940.584437,0.028971,0.353862,0.201214,2.0,2.0,2.0
1697541940.593127,0.029006,0.353869,0.201227,2.0,2.0,2.0
1697541940.60355,0.029041,0.353876,0.201241,2.0,2.0,2.0
1697541940.614854,0.029076,0.353882,0.201254,2.0,2.0,2.0
1697541940.623464,0.029111,0.353889,0.201267,2.0,2.0,2.0
1697541940.633117,0.029147,0.353896,0.20128,2.0,2.0,2.0
1697541940.647406,0.029182,0.353902,0.201293,2.0,2.0,2.0
1697541940.653257,0.029217,0.353908,0.201306,2.0,2.0,2.0
1697541940.663333,0.029252,0.353914,0.201318,2.0,2.0,2.0
1697541940.673408,0.029287,0.35392,0.20133,2.0,2.0,2.0
1697541940.683498,0.029323,0.353926,0.201342,2.0,2.0,2.0
1697541940.693948,0.029358,0.353932,0.201354,2.0,2.0,2.0
1697541940.703774,0.029393,0.353937,0.201365,2.0,2.0,2.0
1697541940.712994,0.029428,0.353943,0.201376,2.0,2.0,2.0
1697541940.723501,0.029464,0.353948,0.201387,2.0,2.0,2.0
1697541940.733429,0.029499,0.353953,0.201397,2.0,2.0,2.0
1697541940.743218,0.029535,0.353958,0.201407,2.0,2.0,2.0
1697541940.752688,0.02957,0.353962,0.201417,2.0,2.0,2.0
1697541940.763637,0.029604,0.353967,0.201427,2.0,2.0,2.0
1697541940.77286,0.029639,0.353972,0.201436,2.0,2.0,2.0
1697541940.782928,0.029674,0.353976,0.201446,2.0,2.0,2.0
1697541940.79324,0.029708,0.353981,0.201456,2.0,2.0,2.0
1697541940.803642,0.029742,0.353986,0.201465,2.0,2.0,2.0
1697541940.812391,0.029775,0.35399,0.201474,2.0,2.0,2.0
1697541940.822957,0.029809,0.353994,0.201482,2.0,2.0,2.0
1697541940.833355,0.029842,0.353998,0.201491,2.0,2.0,2.0
1697541940.842649,0.029875,0.354003,0.201499,2.0,2.0,2.0
1697541940.853354,0.029908,0.354007,0.201508,2.0,2.0,2.0
1697541940.864185,0.029941,0.354011,0.201516,2.0,2.0,2.0
1697541940.873633,0.029974,0.354015,0.201524,2.0,2.0,2.0
1697541940.884671,0.030007,0.35402,0.201533,2.0,2.0,2.0
1697541940.894461,0.03004,0.354024,0.201541,2.0,2.0,2.0
1697541940.903626,0.030072,0.354028,0.201549,2.0,2.0,2.0
1697541940.91316,0.030104,0.354032,0.201557,2.0,2.0,2.0
1697541940.924178,0.030136,0.354036,0.201565,2.0,2.0,2.0
1697541940.933314,0.030167,0.35404,0.201572,2.0,2.0,2.0
1697541940.944025,0.030198,0.354045,0.20158,2.0,2.0,2.0
1697541940.954406,0.030229,0.354048,0.201586,2.0,2.0,2.0
1697541940.963712,0.030259,0.354052,0.201593,2.0,2.0,2.0
1697541940.973447,0.03029,0.354057,0.201599,2.0,2.0,2.0
1697541940.985139,0.03032,0.354061,0.201606,2.0,2.0,2.0
1697541940.993599,0.03035,0.354065,0.201612,2.0,2.0,2.0
1697541941.004065,0.030379,0.354068,0.201619,2.0,2.0,2.0
1697541941.014529,0.030409,0.354072,0.201626,2.0,2.0,2.0
1697541941.023596,0.030438,0.354076,0.201633,2.0,2.0,2.0
1697541941.033939,0.030466,0.35408,0.20164,2.0,2.0,2.0
1697541941.043972,0.030494,0.354084,0.201647,2.0,2.0,2.0
1697541941.053525,0.030522,0.354088,0.201653,2.0,2.0,2.0
1697541941.063712,0.030549,0.354091,0.20166,2.0,2.0,2.0
1697541941.073603,0.030576,0.354095,0.201666,2.0,2.0,2.0
1697541941.083562,0.030603,0.354098,0.201671,2.0,2.0,2.0
1697541941.093111,0.030629,0.354102,0.201677,2.0,2.0,2.0
1697541941.103682,0.030655,0.354105,0.201682,2.0,2.0,2.0
1697541941.113397,0.030681,0.354108,0.201688,2.0,2.0,2.0
1697541941.123507,0.030706,0.354111,0.201693,2.0,2.0,2.0
1697541941.133445,0.03073,0.354114,0.201698,2.0,2.0,2.0
1697541941.143572,0.030755,0.354117,0.201704,2.0,2.0,2.0
1697541941.153169,0.030779,0.35412,0.201709,2.0,2.0,2.0
1697541941.163403,0.030802,0.354123,0.201714,2.0,2.0,2.0
1697541941.17259,0.030826,0.354126,0.201719,2.0,2.0,2.0
1697541941.183623,0.030849,0.354129,0.201724,2.0,2.0,2.0
1697541941.19341,0.030873,0.354132,0.201728,2.0,2.0,2.0
1697541941.203026,0.030895,0.354134,0.201732,2.0,2.0,2.0
1697541941.213434,0.030918,0.354137,0.201737,2.0,2.0,2.0
1697541941.223643,0.03094,0.35414,0.201741,2.0,2.0,2.0
1697541941.233407,0.030962,0.354143,0.201744,2.0,2.0,2.0
1697541941.24344,0.030983,0.354145,0.201748,2.0,2.0,2.0
1697541941.253236,0.031005,0.354148,0.201752,2.0,2.0,2.0
1697541941.263791,0.031026,0.35415,0.201756,2.0,2.0,2.0
1697541941.273776,0.031047,0.354153,0.20176,2.0,2.0,2.0
1697541941.283547,0.031067,0.354156,0.201763,2.0,2.0,2.0
1697541941.294294,0.031087,0.354159,0.201767,2.0,2.0,2.0
1697541941.303732,0.031107,0.354162,0.201771,2.0,2.0,2.0
1697541941.313472,0.031126,0.354164,0.201774,2.0,2.0,2.0
1697541941.324479,0.031146,0.354167,0.201777,2.0,2.0,2.0
1697541941.333348,0.031165,0.35417,0.20178,2.0,2.0,2.0
1697541941.343722,0.031183,0.354173,0.201783,2.0,2.0,2.0
1697541941.353746,0.031202,0.354176,0.201785,2.0,2.0,2.0
1697541941.363476,0.03122,0.354179,0.201788,2.0,2.0,2.0
1697541941.37377,0.031237,0.354181,0.20179,2.0,2.0,2.0
1697541941.384567,0.031254,0.354184,0.201792,2.0,2.0,2.0
1697541941.393533,0.031271,0.354187,0.201794,2.0,2.0,2.0
1697541941.403537,0.031287,0.35419,0.201795,2.0,2.0,2.0
1697541941.414247,0.031304,0.354192,0.201797,2.0,2.0,2.0
1697541941.423302,0.031319,0.354195,0.201798,2.0,2.0,2.0
1697541941.433405,0.031335,0.354197,0.201799,2.0,2.0,2.0
1697541941.444509,0.031351,0.3542,0.201799,2.0,2.0,2.0
1697541941.453182,0.031366,0.354202,0.2018,2.0,2.0,2.0
1697541941.463907,0.031381,0.354205,0.201801,2.0,2.0,2.0
1697541941.473631,0.031396,0.354207,0.201802,2.0,2.0,2.0
1697541941.483429,0.03141,0.354209,0.201803,2.0,2.0,2.0
1697541941.492953,0.031424,0.354211,0.201805,2.0,2.0,2.0
1697541941.503883,0.031438,0.354214,0.201806,2.0,2.0,2.0
1697541941.513188,0.031452,0.354216,0.201808,2.0,2.0,2.0
1697541941.52339,0.031465,0.354218,0.201809,2.0,2.0,2.0
1697541941.53304,0.031479,0.35422,0.20181,2.0,2.0,2.0
1697541941.543117,0.031492,0.354222,0.201812,2.0,2.0,2.0
